Loading val dataloader successfully! -- 8.867563009262085
Loading Train dataloader successfully! -- 176.7682192325592
Loading Test dataloader successfully! -- 0.9259908199310303
Loading val dataloader successfully! -- 8.918102741241455
Loading Train dataloader successfully! -- 177.61992597579956
Loading Test dataloader successfully! -- 0.0978853702545166
Starting training process...
Epoch: [0][335/1260]	Time 4.577s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.024s)	Loss 188.58614 (238.38334)	Accuracy 0.688 (0.584)	 Cls Loss: 0.62670	 loss_cstency: 31.38765
Epoch: [0][340/1260]	Time 4.588s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.023s)	Loss 195.05830 (237.96721)	Accuracy 0.750 (0.585)	 Cls Loss: 0.62340	 loss_cstency: 34.12668
Epoch: [0][345/1260]	Time 4.601s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.023s)	Loss 190.25687 (237.43582)	Accuracy 0.625 (0.586)	 Cls Loss: 0.67119	 loss_cstency: 33.24042
Epoch: [0][350/1260]	Time 4.601s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.023s)	Loss 183.18252 (236.85939)	Accuracy 0.875 (0.588)	 Cls Loss: 0.58851	 loss_cstency: 31.20770
Epoch: [0][355/1260]	Time 4.560s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.023s)	Loss 177.63490 (236.19831)	Accuracy 0.750 (0.589)	 Cls Loss: 0.61849	 loss_cstency: 29.04717
Epoch: [0][360/1260]	Time 4.570s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.022s)	Loss 185.46600 (235.71177)	Accuracy 0.500 (0.590)	 Cls Loss: 0.66713	 loss_cstency: 34.77458
Epoch: [0][365/1260]	Time 4.596s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.022s)	Loss 182.89739 (235.18329)	Accuracy 0.688 (0.592)	 Cls Loss: 0.60313	 loss_cstency: 31.86630
Epoch: [0][370/1260]	Time 4.587s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.022s)	Loss 214.64912 (234.70619)	Accuracy 0.688 (0.594)	 Cls Loss: 0.60698	 loss_cstency: 38.09929
Epoch: [0][375/1260]	Time 4.596s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.022s)	Loss 188.96079 (234.10725)	Accuracy 0.688 (0.595)	 Cls Loss: 0.68202	 loss_cstency: 32.78370
Epoch: [0][380/1260]	Time 4.561s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.022s)	Loss 184.52126 (233.69060)	Accuracy 0.688 (0.596)	 Cls Loss: 0.65140	 loss_cstency: 29.82058
Epoch: [0][385/1260]	Time 4.575s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.022s)	Loss 190.36321 (233.18459)	Accuracy 0.688 (0.597)	 Cls Loss: 0.61788	 loss_cstency: 36.42907
Epoch: [0][390/1260]	Time 4.585s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.021s)	Loss 182.35648 (232.74285)	Accuracy 0.688 (0.598)	 Cls Loss: 0.58589	 loss_cstency: 30.63394
Epoch: [0][395/1260]	Time 4.581s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.021s)	Loss 192.43011 (232.24065)	Accuracy 0.875 (0.600)	 Cls Loss: 0.60949	 loss_cstency: 29.71122
Epoch: [0][400/1260]	Time 4.595s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.021s)	Loss 188.81271 (231.74496)	Accuracy 0.688 (0.600)	 Cls Loss: 0.61117	 loss_cstency: 29.12809
Epoch: [0][405/1260]	Time 4.584s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.021s)	Loss 189.28089 (231.19022)	Accuracy 0.625 (0.600)	 Cls Loss: 0.62130	 loss_cstency: 28.21305
Epoch: [0][410/1260]	Time 4.560s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.021s)	Loss 201.90770 (230.78513)	Accuracy 0.688 (0.602)	 Cls Loss: 0.65121	 loss_cstency: 29.18341
Epoch: [0][415/1260]	Time 4.568s (4.578s)	Speed 3.5 samples/s	Data 0.008s (0.021s)	Loss 183.19593 (230.31005)	Accuracy 0.688 (0.603)	 Cls Loss: 0.66637	 loss_cstency: 27.96175
Epoch: [0][420/1260]	Time 4.575s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.020s)	Loss 188.44597 (229.83727)	Accuracy 0.812 (0.604)	 Cls Loss: 0.64947	 loss_cstency: 32.08257
Epoch: [0][425/1260]	Time 4.562s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.020s)	Loss 178.10480 (229.32546)	Accuracy 0.438 (0.605)	 Cls Loss: 0.61853	 loss_cstency: 26.10915
Epoch: [0][430/1260]	Time 4.576s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.020s)	Loss 182.97503 (228.80151)	Accuracy 0.688 (0.606)	 Cls Loss: 0.65650	 loss_cstency: 33.09754
Epoch: [0][435/1260]	Time 4.583s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.020s)	Loss 212.03283 (228.41424)	Accuracy 0.562 (0.607)	 Cls Loss: 0.63240	 loss_cstency: 32.15876
Epoch: [0][440/1260]	Time 4.606s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.020s)	Loss 219.20726 (228.12450)	Accuracy 0.500 (0.607)	 Cls Loss: 0.69222	 loss_cstency: 34.68476
Epoch: [0][445/1260]	Time 4.582s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.020s)	Loss 177.86392 (227.72613)	Accuracy 0.750 (0.608)	 Cls Loss: 0.64083	 loss_cstency: 26.79544
Epoch: [0][450/1260]	Time 4.587s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.020s)	Loss 218.54056 (227.42004)	Accuracy 0.688 (0.609)	 Cls Loss: 0.62832	 loss_cstency: 45.55474
Epoch: [0][455/1260]	Time 4.607s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.019s)	Loss 197.70780 (227.16481)	Accuracy 0.625 (0.609)	 Cls Loss: 0.66345	 loss_cstency: 28.61234
Epoch: [0][460/1260]	Time 4.598s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.019s)	Loss 191.48305 (226.76199)	Accuracy 0.562 (0.610)	 Cls Loss: 0.66072	 loss_cstency: 30.09735
Epoch: [0][465/1260]	Time 4.570s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.019s)	Loss 187.72407 (226.33841)	Accuracy 0.688 (0.610)	 Cls Loss: 0.64863	 loss_cstency: 29.96157
Epoch: [0][470/1260]	Time 4.567s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.019s)	Loss 191.40111 (225.98857)	Accuracy 0.688 (0.611)	 Cls Loss: 0.57181	 loss_cstency: 32.92657
Epoch: [0][475/1260]	Time 4.568s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.019s)	Loss 231.71312 (225.71511)	Accuracy 0.625 (0.612)	 Cls Loss: 0.59188	 loss_cstency: 28.21835
Epoch: [0][480/1260]	Time 4.588s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.019s)	Loss 185.74259 (225.35222)	Accuracy 0.688 (0.613)	 Cls Loss: 0.55803	 loss_cstency: 31.52006
Epoch: [0][485/1260]	Time 4.577s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.019s)	Loss 189.91190 (225.22381)	Accuracy 0.750 (0.614)	 Cls Loss: 0.60340	 loss_cstency: 27.88552
Epoch: [0][490/1260]	Time 4.600s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.019s)	Loss 209.62036 (224.91172)	Accuracy 0.688 (0.614)	 Cls Loss: 0.57917	 loss_cstency: 35.00363
Epoch: [0][495/1260]	Time 4.592s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.019s)	Loss 183.08283 (224.56834)	Accuracy 0.688 (0.615)	 Cls Loss: 0.57674	 loss_cstency: 25.83363
Epoch: [0][500/1260]	Time 4.569s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.018s)	Loss 240.71768 (224.28365)	Accuracy 0.750 (0.615)	 Cls Loss: 0.61452	 loss_cstency: 30.89186
Epoch: [0][505/1260]	Time 4.569s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.018s)	Loss 215.24426 (224.06216)	Accuracy 0.562 (0.616)	 Cls Loss: 0.71588	 loss_cstency: 27.26663
Epoch: [0][510/1260]	Time 4.582s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.018s)	Loss 205.40646 (223.78533)	Accuracy 0.562 (0.617)	 Cls Loss: 0.61245	 loss_cstency: 30.95390
Epoch: [0][515/1260]	Time 4.567s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.018s)	Loss 185.05889 (223.43374)	Accuracy 0.562 (0.617)	 Cls Loss: 0.64058	 loss_cstency: 36.61803
Epoch: [0][520/1260]	Time 4.589s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.018s)	Loss 187.64897 (223.15230)	Accuracy 0.812 (0.618)	 Cls Loss: 0.67337	 loss_cstency: 28.88813
Epoch: [0][525/1260]	Time 4.600s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.018s)	Loss 196.72691 (222.78289)	Accuracy 0.750 (0.619)	 Cls Loss: 0.64511	 loss_cstency: 28.00423
Epoch: [0][530/1260]	Time 4.567s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.018s)	Loss 201.55628 (222.57272)	Accuracy 0.750 (0.620)	 Cls Loss: 0.55655	 loss_cstency: 52.53135
Epoch: [0][535/1260]	Time 4.563s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.018s)	Loss 182.66561 (222.17240)	Accuracy 0.812 (0.620)	 Cls Loss: 0.60158	 loss_cstency: 27.58445
Epoch: [0][540/1260]	Time 4.572s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.018s)	Loss 186.73705 (221.91586)	Accuracy 0.812 (0.621)	 Cls Loss: 0.66739	 loss_cstency: 26.72051
Epoch: [0][545/1260]	Time 4.570s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.018s)	Loss 206.73325 (221.60219)	Accuracy 0.500 (0.622)	 Cls Loss: 0.65305	 loss_cstency: 26.77787
Epoch: [0][550/1260]	Time 4.575s (4.579s)	Speed 3.5 samples/s	Data 0.008s (0.018s)	Loss 180.40781 (221.31656)	Accuracy 0.688 (0.623)	 Cls Loss: 0.59546	 loss_cstency: 26.43790
Epoch: [0][555/1260]	Time 4.616s (4.580s)	Speed 3.5 samples/s	Data 0.008s (0.017s)	Loss 188.25976 (220.99705)	Accuracy 0.812 (0.624)	 Cls Loss: 0.54972	 loss_cstency: 29.63780
Epoch: [0][560/1260]	Time 4.603s (4.580s)	Speed 3.5 samples/s	Data 0.008s (0.017s)	Loss 221.86845 (220.71958)	Accuracy 0.688 (0.625)	 Cls Loss: 0.62902	 loss_cstency: 46.49896
Epoch: [0][565/1260]	Time 4.586s (4.580s)	Speed 3.5 samples/s	Data 0.008s (0.017s)	Loss 195.26971 (220.44590)	Accuracy 0.688 (0.626)	 Cls Loss: 0.60918	 loss_cstency: 28.26381
Epoch: [0][570/1260]	Time 4.584s (4.580s)	Speed 3.5 samples/s	Data 0.008s (0.017s)	Loss 190.73187 (220.19394)	Accuracy 0.875 (0.627)	 Cls Loss: 0.56898	 loss_cstency: 28.91109
Epoch: [0][575/1260]	Time 4.578s (4.580s)	Speed 3.5 samples/s	Data 0.008s (0.017s)	Loss 193.59316 (219.89870)	Accuracy 0.750 (0.628)	 Cls Loss: 0.60151	 loss_cstency: 26.00162
